From	To
Q9NYW2	ENSP00000461158.1
Q9NYW2	ENSP00000484163.1
Q9NYW1	ENSP00000240691.2
Q9NYW1	ENSP00000460247.1
Q9NYW1	ENSP00000480069.1
Q9NYW0	ENSP00000240619.2
Q9NYW0	ENSP00000461683.1
Q9NYW0	ENSP00000482990.1
Q9NYV9	ENSP00000375095.2
Q9NYV9	ENSP00000461365.1
Q9NYV9	ENSP00000478277.1
Q9NYV8	ENSP00000441949.1
Q9NYV8	ENSP00000458544.1
Q9NYV8	ENSP00000484251.1
Q9NYV7	ENSP00000249284.2
P59542	ENSP00000375091.2
P59542	ENSP00000461533.1
P59543	ENSP00000441624.1
P59543	ENSP00000459353.1
P59541	ENSP00000444736.1
P59541	ENSP00000458170.1
P59538	ENSP00000375093.2
P59538	ENSP00000459810.1
P59533	ENSP00000448219.1
P59534	ENSP00000405095.1
P59535	ENSP00000386210.3
P59536	ENSP00000386201.1
P59536	ENSP00000494656.1
Q7RTR8	ENSP00000334050.1
P59537	ENSP00000431719.1
P59537	ENSP00000458723.1
P59540	ENSP00000436450.1
P59540	ENSP00000460229.1
P59544	ENSP00000424040.1
P59544	ENSP00000458551.1
P59544	ENSP00000479785.1
P59551	ENSP00000327724.1
P59551	ENSP00000494922.1
P34981	ENSP00000309818.2
P34981	ENSP00000430711.2
Q96RJ0	ENSP00000275216.1
Q9UKP6	ENSP00000323516.2
P37288	ENSP00000299178.3
P47901	ENSP00000356094.4
P30518	ENSP00000338072.5
P30518	ENSP00000359066.1
P30518	ENSP00000496396.1
P30559	ENSP00000324270.2
P41586	ENSP00000306620.4
P41586	ENSP00000379514.2
P41586	ENSP00000387335.1
P41586	ENSP00000483721.1
P32241	ENSP00000327246.4
P32241	ENSP00000394950.1
P32241	ENSP00000415371.2
P32241	ENSP00000445701.1
P41587	ENSP00000262178.2
P41587	ENSP00000366860.3
P51843	ENSP00000368253.4
Q15466	ENSP00000254227.3
P10827	ENSP00000264637.4
P10827	ENSP00000377679.4
P10827	ENSP00000395641.3
P10827	ENSP00000443972.1
P10827	ENSP00000463466.1
P10828	ENSP00000280696.5
P10828	ENSP00000348827.4
P10828	ENSP00000379904.2
P10828	ENSP00000414444.1
P10828	ENSP00000494618.1
P10828	ENSP00000496029.1
P10828	ENSP00000496616.1
P10828	ENSP00000493709.1
P10828	ENSP00000496686.2
P10828	ENSP00000496509.1
P10276	ENSP00000254066.5
P10276	ENSP00000377643.3
P10276	ENSP00000377649.2
P10276	ENSP00000389993.3
P10826	ENSP00000332296.4
P10826	ENSP00000373282.5
P10826	ENSP00000398840.2
P10826	ENSP00000391391.1
P10826	ENSP00000510539.1
P10826	ENSP00000508588.1
P10826	ENSP00000510313.1
P10826	ENSP00000510650.1
P10826	ENSP00000508421.1
P13631	ENSP00000343698.5
P13631	ENSP00000377947.2
P13631	ENSP00000388510.2
P13631	ENSP00000444335.1
Q07869	ENSP00000385246.1
Q07869	ENSP00000385523.1
Q03181	ENSP00000310928.4
Q03181	ENSP00000337063.2
Q03181	ENSP00000353916.3
Q03181	ENSP00000413314.2
Q03181	ENSP00000414372.2
P37231	ENSP00000287820.6
P20393	ENSP00000246672.3
Q14995	ENSP00000310006.3
P35398	ENSP00000261523.5
P35398	ENSP00000335087.6
Q92753	ENSP00000366093.2
Q92753	ENSP00000379507.2
P51449	ENSP00000327025.6
P51449	ENSP00000349164.6
Q96RI1	ENSP00000188403.7
Q96RI1	ENSP00000376712.3
Q96RI1	ENSP00000448506.1
Q96RI1	ENSP00000448978.1
Q96RI1	ENSP00000447149.1
Q96RI1	ENSP00000496908.1
Q13133	ENSP00000378793.3
Q13133	ENSP00000384745.3
Q13133	ENSP00000385801.1
Q13133	ENSP00000387946.2
Q13133	ENSP00000420656.1
P55055	ENSP00000253727.4
P55055	ENSP00000396151.2
P55055	ENSP00000471194.1
P55055	ENSP00000499121.1
P11473	ENSP00000378734.2
P11473	ENSP00000449573.2
P11473	ENSP00000447173.1
O75469	ENSP00000336528.4
O75469	ENSP00000377319.3
O75469	ENSP00000420297.2
Q14994	ENSP00000356958.2
Q14994	ENSP00000356959.2
Q14994	ENSP00000356960.3
Q14994	ENSP00000356961.4
Q14994	ENSP00000356962.5
Q14994	ENSP00000356963.4
Q14994	ENSP00000356965.3
Q14994	ENSP00000399361.2
Q14994	ENSP00000412672.2
Q14994	ENSP00000407446.2
Q14994	ENSP00000406493.2
Q14994	ENSP00000424345.1
Q14994	ENSP00000424934.1
Q14994	ENSP00000423666.1
Q14994	ENSP00000427175.1
Q14994	ENSP00000425417.1
P41235	ENSP00000312987.3
P41235	ENSP00000315180.4
P41235	ENSP00000412111.1
P41235	ENSP00000410911.2
P41235	ENSP00000396216.1
P41235	ENSP00000476609.1
Q14541	ENSP00000346339.1
Q14541	ENSP00000501146.1
P19793	ENSP00000419692.1
P28702	ENSP00000363812.3
P28702	ENSP00000363817.4
P28702	ENSP00000372703.4
P28702	ENSP00000372704.4
P28702	ENSP00000402506.2
P28702	ENSP00000410468.2
P28702	ENSP00000393286.2
P28702	ENSP00000411238.2
P28702	ENSP00000415199.2
P28702	ENSP00000402590.2
P28702	ENSP00000400104.2
P28702	ENSP00000393870.2
P48443	ENSP00000352900.5
P13056	ENSP00000328843.7
P13056	ENSP00000333275.4
P13056	ENSP00000376813.3
P49116	ENSP00000320447.6
P49116	ENSP00000376814.3
P49116	ENSP00000384463.2
P49116	ENSP00000388387.1
P49116	ENSP00000483059.1
Q9Y466	ENSP00000357979.3
Q9Y466	ENSP00000357982.5
Q9Y5X4	ENSP00000482504.1
Q9Y5X4	ENSP00000479962.1
P10589	ENSP00000325819.3
P24468	ENSP00000377721.3
P24468	ENSP00000377726.2
P24468	ENSP00000401674.2
P24468	ENSP00000389853.2
P10588	ENSP00000291442.2
P03372	ENSP00000206249.3
P03372	ENSP00000342630.5
P03372	ENSP00000405330.1
P03372	ENSP00000387500.1
Q92731	ENSP00000267525.6
Q92731	ENSP00000343925.4
Q92731	ENSP00000345616.6
Q92731	ENSP00000335551.4
Q92731	ENSP00000351412.5
Q92731	ENSP00000452426.1
Q92731	ENSP00000450699.1
Q92731	ENSP00000450488.1
Q92731	ENSP00000451582.1
P11474	ENSP00000000442.6
P11474	ENSP00000384851.1
P11474	ENSP00000503245.1
O95718	ENSP00000370270.2
O95718	ENSP00000423004.1
O95718	ENSP00000422488.1
P62508	ENSP00000352077.2
P62508	ENSP00000353108.3
P62508	ENSP00000354584.2
P62508	ENSP00000355225.3
P62508	ENSP00000355904.1
P62508	ENSP00000355905.2
P62508	ENSP00000355907.2
P62508	ENSP00000375761.4
P62508	ENSP00000386171.3
P62508	ENSP00000418629.1
P62508	ENSP00000419155.1
P62508	ENSP00000419594.1
P62508	ENSP00000417374.1
P62508	ENSP00000481528.1
P62508	ENSP00000500992.1
P10275	ENSP00000363822.3
P10275	ENSP00000421155.1
P10275	ENSP00000484033.2
P04150	ENSP00000231509.3
P04150	ENSP00000343205.2
P04150	ENSP00000377977.2
P04150	ENSP00000377979.2
P04150	ENSP00000387672.2
P04150	ENSP00000405282.2
P04150	ENSP00000427672.1
P04150	ENSP00000422518.1
P08235	ENSP00000343907.4
P08235	ENSP00000341390.4
P08235	ENSP00000350815.3
P08235	ENSP00000421481.1
P08235	ENSP00000423510.1
P08235	ENSP00000486719.1
P06401	ENSP00000263463.5
P06401	ENSP00000325120.5
P06401	ENSP00000436561.1
P22736	ENSP00000243050.1
P22736	ENSP00000353427.3
P22736	ENSP00000378301.2
P22736	ENSP00000378302.1
P22736	ENSP00000449587.1
P22736	ENSP00000449539.1
P43354	ENSP00000344479.4
P43354	ENSP00000386747.1
P43354	ENSP00000389986.1
Q92570	ENSP00000333122.1
Q92570	ENSP00000340301.4
Q92570	ENSP00000378531.2
Q92570	ENSP00000482027.1
Q13285	ENSP00000362690.4
O00482	ENSP00000236914.3
O00482	ENSP00000356331.3
O00482	ENSP00000439116.1
Q15406	ENSP00000341135.4
Q15406	ENSP00000362686.3
Q15406	ENSP00000413701.2
Q15406	ENSP00000420267.1
P12319	ENSP00000357097.1
P12319	ENSP00000509626.1
Q01362	ENSP00000278888.3
P30273	ENSP00000289902.1
P06734	ENSP00000264072.6
P06734	ENSP00000471974.1
P56159	ENSP00000347591.6
P56159	ENSP00000358237.4
P56159	ENSP00000358239.1
P56159	ENSP00000393725.3
P56159	ENSP00000507970.1
P56159	ENSP00000506818.1
O00451	ENSP00000429445.1
O00451	ENSP00000429979.1
O00451	ENSP00000429206.1
O00451	ENSP00000428518.1
O60609	ENSP00000274721.3
O60609	ENSP00000367613.3
Q9GZZ7	ENSP00000290417.2
Q9GZZ7	ENSP00000313423.3
Q9GZZ7	ENSP00000435801.1
Q6UXV0	ENSP00000343636.2
Q969J5	ENSP00000296980.2
Q969J5	ENSP00000340920.3
Q969J5	ENSP00000296979.4
Q13651	ENSP00000227752.4
Q08334	ENSP00000290200.2
Q9UHF4	ENSP00000314976.5
Q9UHF4	ENSP00000356722.1
Q9UHF4	ENSP00000437843.1
Q6UXL0	ENSP00000328133.4
Q8N6P7	ENSP00000270800.1
Q8IU57	ENSP00000327824.1
Q8IU57	ENSP00000328994.2
Q8IU57	ENSP00000363539.3
Q8IU57	ENSP00000363542.3
P42701	ENSP00000314425.5
P42701	ENSP00000472165.2
P42701	ENSP00000470788.1
Q99665	ENSP00000262345.1
Q99665	ENSP00000360039.1
Q99665	ENSP00000442443.1
Q99665	ENSP00000497959.1
Q99665	ENSP00000501329.1
Q99665	ENSP00000512854.1
Q5VWK5	ENSP00000321345.5
Q5VWK5	ENSP00000387640.2
Q5VWK5	ENSP00000513138.1
Q5VWK5	ENSP00000513139.1
Q5VWK5	ENSP00000513140.1
Q5VWK5	ENSP00000513142.1
Q5VWK5	ENSP00000513190.1
Q5VWK5	ENSP00000513191.1
Q96F46	ENSP00000320936.6
Q96F46	ENSP00000479970.1
Q9NRM6	ENSP00000288167.3
Q8NAC3	ENSP00000295981.3
Q8NAC3	ENSP00000373323.4
Q8NAC3	ENSP00000384969.3
Q8NAC3	ENSP00000396064.1
Q8NAC3	ENSP00000395315.3
Q8NAC3	ENSP00000407894.1
Q8NAC3	ENSP00000512844.1
Q8NAC3	ENSP00000512897.1
Q8NFM7	ENSP00000296318.7
Q8NFM7	ENSP00000322250.5
Q8NFM7	ENSP00000417516.1
Q8NFR9	ENSP00000373325.3
Q8NFR9	ENSP00000388086.2
Q14627	ENSP00000243213.1
Q14627	ENSP00000361004.1
P01589	ENSP00000369293.3
P14784	ENSP00000216223.5
P14784	ENSP00000402685.2
P14784	ENSP00000401020.2
P14784	ENSP00000403731.2
P14784	ENSP00000514005.1
P14784	ENSP00000514009.1
P14784	ENSP00000514011.1
P14784	ENSP00000514012.1
P31785	ENSP00000363318.3
P24394	ENSP00000170630.3
P24394	ENSP00000379111.2
P24394	ENSP00000441667.2
P16871	ENSP00000306157.3
P16871	ENSP00000421207.1
Q01113	ENSP00000244174.5
Q01113	ENSP00000358431.2
P78552	ENSP00000360705.1
P78552	ENSP00000360730.3
Q13261	ENSP00000369306.1
Q13261	ENSP00000369312.3
Q13261	ENSP00000380422.2
Q13261	ENSP00000380426.3
Q13261	ENSP00000431529.2
Q13261	ENSP00000435454.1
Q13261	ENSP00000435995.1
Q9HBE5	ENSP00000338010.3
Q9HBE5	ENSP00000379103.4
Q9HBE5	ENSP00000456707.1
Q9HC73	ENSP00000370978.2
Q9HC73	ENSP00000370979.4
Q9HC73	ENSP00000383641.3
P26951	ENSP00000327890.4
P26951	ENSP00000370878.2
Q01344	ENSP00000256452.3
Q01344	ENSP00000309196.8
Q01344	ENSP00000373358.1
Q01344	ENSP00000400400.2
Q01344	ENSP00000390753.1
Q01344	ENSP00000412209.2
Q01344	ENSP00000392059.1
P15509	ENSP00000347606.3
P15509	ENSP00000348058.2
P15509	ENSP00000370911.1
P15509	ENSP00000370920.3
P15509	ENSP00000370935.3
P15509	ENSP00000370940.3
P15509	ENSP00000416437.2
P15509	ENSP00000512483.1
P32927	ENSP00000384053.3
P32927	ENSP00000385271.1
P08887	ENSP00000340589.4
P08887	ENSP00000357470.3
P40189	ENSP00000370694.3
P40189	ENSP00000370698.2
P40189	ENSP00000462158.1
P40189	ENSP00000435399.1
P40189	ENSP00000513858.1
Q14626	ENSP00000326500.8
Q14626	ENSP00000394391.3
Q14626	ENSP00000450640.2
Q14626	ENSP00000473647.1
Q14626	ENSP00000509204.1
Q6UWB1	ENSP00000263379.1
Q6UWB1	ENSP00000500946.1
Q8NI17	ENSP00000297015.4
Q8NI17	ENSP00000347047.4
Q8NI17	ENSP00000351935.5
Q8NI17	ENSP00000380048.2
Q8NI17	ENSP00000427533.1
Q8NI17	ENSP00000498630.1
P26992	ENSP00000242338.4
P26992	ENSP00000368265.3
P26992	ENSP00000480451.1
P48357	ENSP00000340884.8
P48357	ENSP00000330393.7
P48357	ENSP00000360097.1
P48357	ENSP00000360098.3
P48357	ENSP00000360099.3
P48357	ENSP00000483390.1
P42702	ENSP00000263409.4
P42702	ENSP00000398368.2
Q99650	ENSP00000274276.3
Q99650	ENSP00000422023.1
P25942	ENSP00000361350.3
P25942	ENSP00000361359.3
Q92956	ENSP00000347948.4
Q92956	ENSP00000478308.1
P14778	ENSP00000386380.1
P27930	ENSP00000330959.3
P27930	ENSP00000377066.2
P27930	ENSP00000414611.1
Q01638	ENSP00000233954.1
Q01638	ENSP00000310371.2
Q01638	ENSP00000384822.2
Q01638	ENSP00000391120.1
Q9HB29	ENSP00000264257.2
Q9HB29	ENSP00000413348.2
Q13478	ENSP00000233957.1
Q13478	ENSP00000387211.1
Q13478	ENSP00000386663.1
Q6IA17	ENSP00000333656.3
Q6IA17	ENSP00000380756.3
Q6IA17	ENSP00000403104.2
P56199	ENSP00000282588.5
P17301	ENSP00000296585.5
P08514	ENSP00000262407.5
P26006	ENSP00000007722.7
P26006	ENSP00000315190.8
P13612	ENSP00000340149.4
P13612	ENSP00000380227.2
P08648	ENSP00000293379.4
P23229	ENSP00000386896.1
P23229	ENSP00000386614.1
P23229	ENSP00000406694.1
P23229	ENSP00000394169.1
P23229	ENSP00000508249.1
Q13683	ENSP00000257879.7
Q13683	ENSP00000393844.2
Q13683	ENSP00000452120.1
Q13683	ENSP00000452387.1
P53708	ENSP00000367316.3
Q13797	ENSP00000264741.5
O75578	ENSP00000358310.3
O75578	ENSP00000439894.1
Q9UKX5	ENSP00000327290.7
Q9UKX5	ENSP00000403392.2
Q13349	ENSP00000373854.2
P38570	ENSP00000263087.4
P20701	ENSP00000349252.5
P20701	ENSP00000350886.5
P11215	ENSP00000441691.3
P11215	ENSP00000496959.1
P06756	ENSP00000261023.3
P06756	ENSP00000364042.3
P06756	ENSP00000404291.2
P20702	ENSP00000268296.5
P05556	ENSP00000303351.3
P05556	ENSP00000379350.2
P05556	ENSP00000404546.3
P05556	ENSP00000388694.1
P05556	ENSP00000398029.2
P05556	ENSP00000504641.1
P05556	ENSP00000502979.1
P05556	ENSP00000504508.1
P05556	ENSP00000503546.1
P05556	ENSP00000504205.1
P05556	ENSP00000503538.1
P05556	ENSP00000503916.1
P05556	ENSP00000504444.1
P05556	ENSP00000502882.1
P05107	ENSP00000303242.6
P05107	ENSP00000347279.4
P05107	ENSP00000380948.2
P05107	ENSP00000380950.1
P05107	ENSP00000380955.1
P05106	ENSP00000452786.2
P05106	ENSP00000513002.1
P16144	ENSP00000200181.3
P16144	ENSP00000400217.2
P16144	ENSP00000405536.3
P16144	ENSP00000463651.1
P18084	ENSP00000296181.4
P18564	ENSP00000283249.2
P18564	ENSP00000386367.1
P18564	ENSP00000386828.2
P26010	ENSP00000267082.4
P26010	ENSP00000408741.3
P26010	ENSP00000455374.2
P26012	ENSP00000222573.3
P26012	ENSP00000441561.1
P17181	ENSP00000270139.3
P17181	ENSP00000498654.1
P17181	ENSP00000514785.1
P48551	ENSP00000343289.3
P48551	ENSP00000343957.5
P48551	ENSP00000371699.3
P48551	ENSP00000384309.2
P48551	ENSP00000508013.1
P15260	ENSP00000356713.5
P38484	ENSP00000290219.5
P38484	ENSP00000458487.2
Q02108	ENSP00000296518.7
Q02108	ENSP00000412201.2
Q02108	ENSP00000424361.1
Q02108	ENSP00000421493.1
Q02108	ENSP00000426968.1
Q02108	ENSP00000426040.1
P33402	ENSP00000282249.2
P33402	ENSP00000344874.2
P33402	ENSP00000431245.2
Q02153	ENSP00000264424.8
Q02153	ENSP00000420842.1
Q02153	ENSP00000426319.1
Q9Y239	ENSP00000222823.4
Q9HC29	ENSP00000300589.2
Q9HC29	ENSP00000495993.1
Q7RTR2	ENSP00000352039.6
Q7RTR2	ENSP00000482989.1
Q9NPP4	ENSP00000339666.6
Q9NPP4	ENSP00000354159.5
Q9NPP4	ENSP00000385428.1
Q86WI3	ENSP00000262510.6
Q86WI3	ENSP00000441727.1
Q86WI3	ENSP00000441679.1
Q86WI3	ENSP00000509992.1
Q86UT6	ENSP00000292199.2
Q86UT6	ENSP00000387334.1
Q86UT6	ENSP00000386858.5
Q86UT6	ENSP00000386851.1
Q86UT6	ENSP00000433442.1
P33076	ENSP00000371257.5
Q9C000	ENSP00000262467.5
Q9C000	ENSP00000269280.4
Q9C000	ENSP00000346390.3
Q9C000	ENSP00000442029.2
Q9C000	ENSP00000459661.3
Q9C000	ENSP00000460475.1
Q9C000	ENSP00000458303.2
Q9C000	ENSP00000460216.1
Q9C000	ENSP00000478516.1
Q9C000	ENSP00000514534.1
Q9NX02	ENSP00000344074.7
Q9NX02	ENSP00000375601.4
Q9NX02	ENSP00000402474.2
Q9NX02	ENSP00000409370.2
Q9NX02	ENSP00000440601.1
Q9NX02	ENSP00000445135.1
Q9NX02	ENSP00000479220.1
Q9NX02	ENSP00000484150.1
Q9NX02	ENSP00000481999.1
Q9NX02	ENSP00000484354.1
Q9NX02	ENSP00000479109.1
Q9NX02	ENSP00000483281.1
Q9NX02	ENSP00000484351.1
Q9NX02	ENSP00000483963.1
Q9NX02	ENSP00000482628.1
Q9NX02	ENSP00000482889.1
Q9NX02	ENSP00000481851.1
Q9NX02	ENSP00000479352.1
Q9NX02	ENSP00000478876.1
Q9NX02	ENSP00000482355.1
Q9NX02	ENSP00000481564.1
Q9NX02	ENSP00000483886.1
Q9NX02	ENSP00000482465.1
Q9NX02	ENSP00000478787.1
Q9NX02	ENSP00000478318.1
Q9NX02	ENSP00000482309.1
Q9NX02	ENSP00000478265.1
Q9NX02	ENSP00000483528.1
Q9NX02	ENSP00000478774.1
Q9NX02	ENSP00000483389.1
Q9NX02	ENSP00000484382.1
Q9NX02	ENSP00000479783.1
Q9NX02	ENSP00000479713.1
Q9NX02	ENSP00000478450.1
Q9NX02	ENSP00000482253.1
Q9NX02	ENSP00000482044.1
Q9NX02	ENSP00000482065.1
Q9NX02	ENSP00000482727.1
Q9NX02	ENSP00000484759.1
Q9NX02	ENSP00000477726.1
Q96MN2	ENSP00000301295.4
Q96MN2	ENSP00000465463.1
P59047	ENSP00000375063.3
P59044	ENSP00000309767.4
P59044	ENSP00000433617.1
Q8WX94	ENSP00000329568.5
Q8WX94	ENSP00000339491.2
Q8WX94	ENSP00000467123.1
Q8WX94	ENSP00000465520.1
Q8WX94	ENSP00000468706.1
Q8WX94	ENSP00000482887.1
Q8WX94	ENSP00000478726.1
Q8WX94	ENSP00000478890.1
Q8WX94	ENSP00000479459.1
Q8WX94	ENSP00000481117.1
Q8WX94	ENSP00000483203.1
Q8WX94	ENSP00000484444.1
Q8WX94	ENSP00000484426.1
Q8WX94	ENSP00000480449.1
Q8WX94	ENSP00000483353.1
Q8WX94	ENSP00000480226.1
Q8WX94	ENSP00000481452.1
Q8WX94	ENSP00000484808.1
Q8WX94	ENSP00000481809.1
Q8WX94	ENSP00000480034.1
Q8WX94	ENSP00000482551.1
Q8WX94	ENSP00000481395.1
Q8WX94	ENSP00000479541.1
Q8WX94	ENSP00000482194.1
Q86W28	ENSP00000291971.3
Q86W28	ENSP00000468121.1
Q7RTR0	ENSP00000331857.2
Q7RTR0	ENSP00000465253.1
Q86W26	ENSP00000327763.2
Q86W26	ENSP00000478480.1
Q86W26	ENSP00000486762.1
Q86W26	ENSP00000509542.1
P59045	ENSP00000466285.1
P59045	ENSP00000468082.1
P59045	ENSP00000468196.1
P59046	ENSP00000319377.6
P59046	ENSP00000375653.1
P59046	ENSP00000375655.3
Q86W25	ENSP00000343891.3
Q86W24	ENSP00000299481.5
P19235	ENSP00000222139.5
P19235	ENSP00000467809.2
Q99062	ENSP00000332180.5
Q99062	ENSP00000355406.4
Q99062	ENSP00000362195.1
Q99062	ENSP00000362196.1
Q99062	ENSP00000362198.2
P10912	ENSP00000230882.4
P10912	ENSP00000350335.3
P10912	ENSP00000442206.2
P10912	ENSP00000478332.1
P10912	ENSP00000479846.1
P10912	ENSP00000478291.1
P10912	ENSP00000482373.1
P16471	ENSP00000231423.3
P16471	ENSP00000309008.5
P16471	ENSP00000311613.3
P16471	ENSP00000425300.2
P16471	ENSP00000422556.1
P16471	ENSP00000424841.1
P16471	ENSP00000422935.2
P16471	ENSP00000441813.2
P16471	ENSP00000482954.1
P16471	ENSP00000484768.1
P16471	ENSP00000482689.1
P40238	ENSP00000361548.3
P18433	ENSP00000216877.6
P18433	ENSP00000314568.5
P18433	ENSP00000348468.3
P18433	ENSP00000382787.2
P23467	ENSP00000261266.5
P23467	ENSP00000334928.6
P23467	ENSP00000438927.1
P23467	ENSP00000447302.1
P08575	ENSP00000306782.7
P08575	ENSP00000411355.3
P08575	ENSP00000461074.2
P08575	ENSP00000458322.2
P08575	ENSP00000513363.1
P23468	ENSP00000347373.5
P23468	ENSP00000348812.5
P23468	ENSP00000370593.3
P23468	ENSP00000380731.3
P23468	ENSP00000380735.3
P23468	ENSP00000417093.1
P23468	ENSP00000438164.1
P23468	ENSP00000489063.1
P23468	ENSP00000489509.1
P23468	ENSP00000489257.1
P23468	ENSP00000489439.1
P23468	ENSP00000488982.1
P23468	ENSP00000489155.1
P23468	ENSP00000489038.1
P23469	ENSP00000254667.3
P23469	ENSP00000303350.5
P10586	ENSP00000353030.4
P10586	ENSP00000398822.1
P23470	ENSP00000295874.10
P23470	ENSP00000418112.1
Q9HD43	ENSP00000263434.4
Q9HD43	ENSP00000365528.2
Q12913	ENSP00000400010.2
Q12913	ENSP00000409733.2
Q15262	ENSP00000357196.5
Q15262	ENSP00000357198.3
Q15262	ENSP00000357209.4
Q15262	ENSP00000432973.1
Q15262	ENSP00000484742.2
Q15262	ENSP00000483766.2
Q15262	ENSP00000477791.2
Q15262	ENSP00000486442.1
P28827	ENSP00000331418.8
P28827	ENSP00000463325.1
Q16849	ENSP00000295718.2
Q16849	ENSP00000386638.3
Q16849	ENSP00000392598.2
Q92932	ENSP00000374064.3
Q92932	ENSP00000374067.4
Q92932	ENSP00000374069.4
Q16827	ENSP00000281171.4
Q16827	ENSP00000343434.2
Q16827	ENSP00000404188.2
Q16827	ENSP00000393449.2
Q16827	ENSP00000437571.1
Q16827	ENSP00000444173.1
Q16827	ENSP00000439234.1
Q16827	ENSP00000501538.1
Q16827	ENSP00000501352.1
Q16827	ENSP00000501494.1
Q15256	ENSP00000283228.2
Q15256	ENSP00000339605.4
Q15256	ENSP00000368054.1
Q15256	ENSP00000391750.2
Q15256	ENSP00000446943.1
Q13332	ENSP00000262963.8
Q13332	ENSP00000467537.1
Q13332	ENSP00000465443.1
Q13332	ENSP00000467398.1
O14522	ENSP00000362283.1
O14522	ENSP00000362289.4
Q92729	ENSP00000334941.5
Q92729	ENSP00000362884.3
Q92729	ENSP00000392332.2
Q92729	ENSP00000432906.1
P23471	ENSP00000377047.2
P23471	ENSP00000410000.1
P23471	ENSP00000499137.1
O95786	ENSP00000369197.2
O95786	ENSP00000369213.2
Q9BYX4	ENSP00000408450.2
Q9BYX4	ENSP00000497271.1
Q96C10	ENSP00000251642.3
Q15399	ENSP00000354932.2
Q15399	ENSP00000421259.1
O60603	ENSP00000260010.6
O60603	ENSP00000495339.1
O60603	ENSP00000494425.1
O15455	ENSP00000296795.3
O15455	ENSP00000423684.1
O15455	ENSP00000513677.1
O15455	ENSP00000513668.1
O15455	ENSP00000513676.1
O00206	ENSP00000363089.5
O00206	ENSP00000377997.4
O60602	ENSP00000440643.1
Q9Y2C9	ENSP00000371376.1
Q9Y2C9	ENSP00000424718.2
Q9NYK1	ENSP00000370034.3
Q9NR97	ENSP00000218032.7
Q9NR97	ENSP00000312082.5
Q9NR96	ENSP00000353874.2
Q9BXR5	ENSP00000308925.4
Q9BXR5	ENSP00000354459.2
Q9BXR5	ENSP00000421483.1
Q9BXR5	ENSP00000424923.1
Q9BXR5	ENSP00000478206.1
Q9BXR5	ENSP00000478985.1
P16066	ENSP00000357669.3
P20594	ENSP00000341083.2
P25092	ENSP00000261170.3
P17342	ENSP00000265074.8
P17342	ENSP00000318340.2
P17342	ENSP00000398028.2
Q02846	ENSP00000254854.4
P51841	ENSP00000218006.2
P19438	ENSP00000162749.2
P19438	ENSP00000513672.1
P19438	ENSP00000513670.1
P19438	ENSP00000513671.1
P20333	ENSP00000365435.3
P36941	ENSP00000228918.4
P36941	ENSP00000440875.1
P43489	ENSP00000368538.3
P25445	ENSP00000347426.2
P25445	ENSP00000349896.2
P25445	ENSP00000424113.1
P25445	ENSP00000420975.1
P25445	ENSP00000425159.1
P25445	ENSP00000422453.1
P25445	ENSP00000423755.1
P25445	ENSP00000498466.1
P25445	ENSP00000513060.1
O95407	ENSP00000359013.1
P26842	ENSP00000266557.3
P28908	ENSP00000263932.2
P28908	ENSP00000398337.2
P28908	ENSP00000390650.2
Q07011	ENSP00000366729.3
O00220	ENSP00000221132.3
O14763	ENSP00000276431.4
O14763	ENSP00000317859.3
O14798	ENSP00000349324.4
Q9UBN6	ENSP00000310263.3
Q9Y6Q6	ENSP00000269485.7
Q9Y6Q6	ENSP00000465500.1
O00300	ENSP00000297350.4
Q93038	ENSP00000314451.3
Q93038	ENSP00000326762.3
Q93038	ENSP00000337713.5
Q93038	ENSP00000349341.3
Q93038	ENSP00000367013.3
Q93038	ENSP00000404274.2
Q93038	ENSP00000431554.1
Q93038	ENSP00000423121.1
Q93038	ENSP00000421976.1
Q93038	ENSP00000424071.1
Q9NP84	ENSP00000326737.5
Q9NP84	ENSP00000343894.5
O14836	ENSP00000261652.2
O14836	ENSP00000462952.1
Q96RJ3	ENSP00000291232.3
P08138	ENSP00000172229.3
P08138	ENSP00000421731.1
Q02223	ENSP00000053243.1
Q02223	ENSP00000379753.3
Q9Y5U5	ENSP00000328207.6
Q9Y5U5	ENSP00000368567.5
Q9Y5U5	ENSP00000368570.2
Q9NS68	ENSP00000248484.4
Q9NS68	ENSP00000371693.4
Q9NS68	ENSP00000371698.3
Q9NS68	ENSP00000385408.2
Q969Z4	ENSP00000064780.2
Q969Z4	ENSP00000377207.2
O75509	ENSP00000296861.2
Q9HAV5	ENSP00000253392.5
Q9HAV5	ENSP00000363851.3
Q9HAV5	ENSP00000379365.2
Q9HAV5	ENSP00000415242.3
Q9UNE0	ENSP00000258443.2
Q9UNE0	ENSP00000365839.1
Q9UNE0	ENSP00000386371.1
Q03167	ENSP00000212355.4
Q03167	ENSP00000359426.2
Q03167	ENSP00000432638.1
Q03167	ENSP00000436127.1
P16234	ENSP00000257290.5
P16234	ENSP00000425648.1
P16234	ENSP00000424218.1
P09619	ENSP00000261799.4
P10721	ENSP00000288135.6
P10721	ENSP00000509450.1
P07333	ENSP00000286301.3
P07333	ENSP00000445282.1
P07333	ENSP00000501699.1
P36888	ENSP00000241453.7
P27037	ENSP00000241416.7
P27037	ENSP00000384338.1
P27037	ENSP00000439988.1
Q13705	ENSP00000340361.3
Q16671	ENSP00000257863.3
