,metabolite,degrading,producing
90,HMDB0060116,"['CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP4B1', 'CYP2A6', 'CYP1A1', 'CYP2F1', 'CYP3A5', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4F8', 'CYP4X1', 'CYP2E1', 'CYP3A43', 'CYP2A7', 'CYP2S1', 'CYP2C9']",[]
91,HMDB0011158,"['PLD3', 'PLD1', 'PLD2', 'PLD4']","['LPCAT4', 'LPCAT1', 'LPCAT3', 'LPCAT2']"
92,HMDB0011149,"['LPCAT4', 'LPCAT1', 'LPCAT3', 'LPCAT2', 'ABCB4', 'ATP8B2', 'ATP8B1', 'ABCA1', 'ATP10A']","['PLA2G2E', 'PLA2G3', 'PLAAT3', 'PAFAH1B3', 'PAFAH1B1', 'PLA2G4C', 'PLA2G4E', 'PLA2G2D', 'PLA2G1B', 'PLA2G2C', 'PAFAH2', 'PAFAH1B2', 'PLA2G2A', 'PLA2G5', 'PLA2G4F', 'PLA2G7', 'PLA2G4B', 'PLA2G4A', 'PLA2G6', 'PLA2G4D', 'PLA2G2F', 'PLA2G10', 'PLA2G12A', 'PLB1', 'PLA2G12B']"
93,HMDB0000151,"['UGT1A8', 'UGT1A10', 'UGT2B28', 'UGT2B15', 'UGT3A2', 'UGT1A3', 'UGT2B10', 'UGT1A6', 'UGT1A7', 'UGT2A1', 'UGT2B17', 'UGT1A1', 'UGT1A5', 'UGT3A1', 'UGT2B7', 'UGT1A4', 'UGT2B4', 'UGT2B11', 'UGT2A3', 'UGT1A9']","['HSD17B12', 'CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'HSD17B11', 'CYP1A1', 'CYP4B1', 'CYP2A6', 'CYP3A5', 'CYP2F1', 'CYP2U1', 'HSD17B6', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'HSD17B7', 'CYP4Z1', 'CYP19A1', 'HSD17B2', 'CYP2A13', 'CYP4X1', 'CYP2E1', 'CYP4F8', 'CYP2C19', 'CYP2C9', 'CYP2A7', 'CYP3A43', 'CYP2S1']"
94,HMDB0000145,"['HSD17B12', 'SULT1A3', 'SULT1E1', 'UGT1A8', 'HSD17B11', 'HSD17B6', 'SULT1A1', 'UGT1A10', 'HSD17B7', 'HSD17B2', 'UGT1A1', 'UGT1A5', 'UGT2A3', 'UGT2B15', 'UGT1A3', 'UGT2B17', 'UGT1A7', 'UGT2B7', 'UGT2B10', 'UGT2B28', 'UGT1A6', 'UGT1A9', 'UGT2B11', 'UGT2B4', 'UGT1A4']","['CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP4B1', 'CYP2A6', 'CYP1A1', 'CYP3A5', 'CYP2F1', 'CYP2U1', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4X1', 'CYP2E1', 'CYP4F8', 'CYP2C9', 'CYP2C19', 'CYP2A7', 'STS', 'CYP3A43', 'CYP2S1', 'ARSL', 'ARSD']"
95,HMDB0001201,"['GMPPA', 'PKLR', 'GMPPB', 'PKM', 'RNF123', 'PNPT1', 'NME5']","['ADSS2', 'UCK2', 'UCKL1', 'FUT4', 'DPM3', 'FGGY', 'PCK2', 'NOL9', 'RRM2', 'FUT3', 'ALG1', 'RRM1', 'PCK1', 'FUT7', 'FN3KRP', 'FUT9', 'FAM20B', 'FUT6', 'CANT1', 'DPM2', 'ADSS1', 'DPM1', 'RRM2B', 'ALG12', 'FUT8', 'ALG2', 'UCK1', 'ENTPD8', 'ENTPD3', 'FUT5', 'FN3K', 'FUT2', 'ENTPD1', 'ALG11', 'FUT1', 'DNM2', 'EEF1A1', 'DNM1', 'DNM1L', 'EEF2', 'ENTPD4', 'TUFM', 'ENTPD5', 'DNM3', 'GFM2', 'GFM1', 'ENTPD6', 'EEF1A2', 'TXN', 'TXN2', 'EFL1', 'ENTPD2', 'OPA1', 'IRGC', 'MFN1', 'MFN2', 'GUF1', 'HDDC3', 'GDPGP1', 'XPO7', 'XPO6', 'SLC25A6', 'KPNA6', 'ALDH3B2', 'ALDH3A1', 'ALDH1A3']"
96,HMDB0000191,"['ADSS2', 'GAD1', 'FH', 'ASS1', 'DARS2', 'ADSS1', 'ASNS', 'DARS1', 'GAD2', 'NAT8L', 'ASPDH', 'IL4I1', 'SLC25A12', 'SLC25A13']","['AGA', 'ASPA', 'GOT2', 'ASPG', 'ASRGL1', 'ACY3', 'SLC38A3', 'SLC1A2', 'SLC1A7', 'SLC1A3', 'SLC1A4', 'SLC1A1', 'SLC1A6', 'SLC25A20', 'SLC36A1']"
97,HMDB0001273,"['ADSS2', 'UCK2', 'UCKL1', 'GMPPA', 'MOCS1', 'FGGY', 'GUCY1B2', 'PCK2', 'GUCY1A1', 'NOL9', 'GUCY2F', 'GUCY1A2', 'GCH1', 'PCK1', 'GMPPB', 'FN3KRP', 'FAM20B', 'NPR2', 'CANT1', 'ITPA', 'ADSS1', 'NPR1', 'GUCY2D', 'GUCY2C', 'UCK1', 'ENTPD3', 'FN3K', 'ENTPD1', 'ENTPD8', 'GUCY1B1', 'DNM2', 'EEF1A1', 'DNM1', 'DNM1L', 'EEF2', 'ENTPD4', 'ADCY2', 'TUFM', 'ENTPD5', 'DNM3', 'GFM2', 'ADCY8', 'GFM1', 'ENTPD6', 'ADCY10', 'ADCY7', 'ADCY9', 'ADCY1', 'EEF1A2', 'TXN', 'ADCY5', 'ADCY3', 'ADCY4', 'TXN2', 'EFL1', 'ADCY6', 'ENTPD2', 'POLR3G', 'OPA1', 'THG1L', 'POLR3B', 'POLR2C', 'POLR1F', 'POLR3E', 'POLR1B', 'POLR2F', 'POLR2D', 'IRGC', 'MFN1', 'POLR3C', 'POLR3F', 'POLR2K', 'POLR3H', 'POLR3D', 'POLR2I', 'POLR2J2', 'MFN2', 'POLR3K', 'POLR2B', 'GUF1', 'POLR2L', 'POLR1A', 'POLR3GL', 'POLR2G', 'POLR3A', 'POLR2E', 'POLR2J', 'POLR1E', 'POLR1H', 'ACSM1', 'POLR2H', 'CGAS', 'POLR2A', 'POLR1C']","['PKLR', 'NUDT2', 'PKM', 'NME5', 'SLC25A6', 'ALDH3B2', 'ALDH3A1', 'ALDH1A3']"
98,HMDB0000175,"['ADSS2', 'IMPDH1', 'NT5C1A', 'NT5E', 'NT5C3A', 'ADSS1', 'IMPDH2', 'NT5C2', 'NT5C1B', 'RBAK', 'NT5M', 'NT5C3B', 'ACP3', 'NT5C']","['HPRT1', 'AMPD2', 'AMPD1', 'GMPR', 'AMPD3', 'CANT1', 'ITPA', 'GMPR2', 'ENTPD8', 'ENTPD3', 'ENTPD1', 'ENTPD4', 'ENTPD5', 'ENTPD6', 'ENTPD2']"
99,HMDB0000335,[],"['CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP4B1', 'CYP2A6', 'CYP2F1', 'CYP1A1', 'CYP3A5', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4F8', 'CYP4X1', 'CYP2E1', 'CYP3A43', 'CYP2A7', 'CYP2C9', 'CYP2S1', 'CYP2U1', 'CYP2C19']"
100,HMDB0000169,"['HK3', 'GCK', 'HK1', 'HKDC1', 'HK2', 'MAN2A2', 'MAN2B1', 'MAN2A1', 'MAN2B2']","['MANBA', 'MAN1A2', 'MAN1B1', 'MAN1C1', 'MAN1A1', 'GLA', 'SLC5A9', 'SLC2A3', 'SLC5A10', 'SLC2A2', 'SLC2A1']"
101,HMDB0000215,"['NAGK', 'B4GALT2', 'B4GALT4', 'B4GALT1', 'CHI3L2', 'B4GALT3', 'OGA']","['MANBA', 'CHIT1', 'ENGASE', 'MANSC1', 'HEXB', 'GUSB', 'NAGLU', 'HEXA', 'CHI3L1', 'CHIA', 'HEXD']"
102,HMDB0006535,['MANBA'],"['MAN2C1', 'MAN2B1', 'MAN2B2']"
103,HMDB0003974,[],"['IDH1', 'IDH2']"
104,HMDB0000193,"['IDH1', 'IDH3A', 'IDH3G', 'IDH3B', 'HIF1A']",['SLC25A1']
105,HMDB0000290,"['EXT1', 'PIGP', 'CHSY1', 'HAS3', 'MGAT4B', 'ALG13', 'PYURF', 'B3GNT3', 'B3GNTL1', 'EXTL3', 'DPAGT1', 'GNE', 'B4GAT1', 'B3GNT5', 'B3GNT2', 'MGAT4A', 'HAS1', 'PIGA', 'CSGALNACT2', 'GCNT4', 'CHPF', 'EXTL1', 'A4GNT', 'B3GNT6', 'B3GNT8', 'MGAT2', 'DPM2', 'PIGH', 'MGAT3', 'B3GNT4', 'ALG14', 'GCNT2', 'B3GNT7', 'EXTL2', 'EXT2', 'CHSY3', 'GCNT1', 'MGAT1', 'GCNT3', 'CSGALNACT1', 'PIGQ', 'MGAT5', 'PIGC', 'HAS2', 'MGAT4C', 'PIGY', 'POMGNT2', 'EOGT', 'POMGNT1', 'OGT', 'MGAT5B']","['UAP1L1', 'UAP1', 'SLC35D2', 'SLC35A3']"
106,HMDB0000935,"['EXT1', 'CHSY1', 'UGT3A1', 'HAS3', 'UGT1A4', 'UGT1A9', 'CHPF2', 'B3GAT3', 'HAS1', 'UGT1A8', 'CSGALNACT2', 'CHPF', 'UGT1A6', 'UGT2B28', 'UGT2B10', 'B3GAT1', 'UGT2B11', 'UGT2B4', 'B3GAT2', 'UGT3A2', 'UGT1A3', 'UGT1A1', 'UGT1A5', 'UGT2B17', 'UGT2A3', 'UGT2A1', 'UGT1A10', 'EXT2', 'UGT1A7', 'CHSY3', 'UXS1', 'UGT2B7', 'UGT2B15', 'CSGALNACT1', 'HAS2', 'ALG5']","['UGDH', 'SLC35D1']"
107,HMDB0001554,"['NT5C1A', 'NT5E', 'NT5C3A', 'GMPS', 'NT5C2', 'NT5C', 'NT5C1B', 'HPRT1', 'NT5M']","['IMPDH1', 'ITPA', 'IMPDH2', 'NUDT2']"
108,HMDB0001498,"['IPMK', 'INPP5A', 'INPP5B', 'INPP5E', 'SYNJ1', 'INPPL1', 'INPP5J', 'ITPKB', 'ITPKA', 'INPP5D', 'ITPKC', 'INPP5K']","['PLCD3', 'PLCG2', 'MINPP1', 'PLCB4', 'PLCH1', 'PLCB1', 'PLCE1', 'PLCB2', 'PLCD1', 'PLCG1', 'PLCL1', 'PLCXD2', 'PLCB3', 'PLCZ1', 'PLCH2', 'PLCD4']"
109,HMDB0000968,['INPP1'],"['PLCD3', 'PLCG2', 'PLCB4', 'PLCH1', 'INPP5A', 'INPP5B', 'INPP5E', 'SYNJ1', 'PLCB1', 'PLCE1', 'PLCB2', 'INPPL1', 'PLCD1', 'PLCG1', 'PLCL1', 'PLCXD2', 'INPP5J', 'PLCB3', 'PLCZ1', 'INPP5D', 'PLCH2', 'PLCD4', 'INPP5K']"
110,HMDB0000213,"['IMPA1', 'IMPA2', 'MTMR1', 'MTMR2', 'BPNT2']","['PLCD3', 'PLCG2', 'PLCB4', 'PLCH1', 'PLCL2', 'PLCB1', 'PLCE1', 'PLCB2', 'PLCD1', 'PLCG1', 'PLCL1', 'PLCXD2', 'PLCB3', 'ISYNA1', 'PLCZ1', 'PLCH2', 'ANXA3', 'GDPD2', 'PLCD4', 'INPP4B', 'INPP4A']"
111,HMDB0062404,[],"['CYP2D6', 'CYP2A6', 'CYP2A13', 'CYP2E1', 'CYP2A7']"
112,HMDB0006468,[],"['CYP2D6', 'CYP2C9', 'CYP2C19']"
113,HMDB0004701,[],"['CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP4B1', 'CYP2A6', 'CYP2F1', 'CYP1A1', 'CYP3A5', 'CYP2U1', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4F8', 'CYP4X1', 'CYP2E1', 'CYP2A7', 'CYP3A43', 'CYP2C9', 'CYP2S1', 'CYP2C19']"
114,HMDB0002190,"['EPHX2', 'EPHX1']","['CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP1A1', 'CYP4B1', 'CYP2A6', 'CYP2F1', 'CYP3A5', 'CYP2U1', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4X1', 'CYP2E1', 'CYP4F8', 'CYP2C19', 'CYP2C9', 'CYP2A7', 'CYP2S1', 'CYP3A43']"
115,HMDB0002232,"['EPHX2', 'EPHX1']","['CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP1A1', 'CYP4B1', 'CYP2A6', 'CYP2F1', 'CYP3A5', 'CYP2U1', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4X1', 'CYP2E1', 'CYP4F8', 'CYP2C19', 'CYP2C9', 'CYP2A7', 'CYP2S1', 'CYP3A43']"
116,HMDB0004673,"['ACOX1', 'SLC27A4', 'EPHX2', 'ECHS1', 'ACOT8', 'BAAT', 'ACOT7', 'ACOT1', 'AASDH', 'HADHB', 'HSD17B10', 'EPHX1', 'AMACR', 'ACOT4', 'SLC27A2', 'ACAA2', 'ACSF3', 'HADH', 'ACOT2', 'ACAA1', 'HSD17B4', 'ACSF2', 'HADHA', 'ACOX3', 'SLC27A1', 'SLC27A3']","['CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP1A1', 'CYP4B1', 'CYP2A6', 'CYP2F1', 'CYP3A5', 'CYP2U1', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4X1', 'CYP2E1', 'CYP4F8', 'CYP2C9', 'CYP2C19', 'CYP2A7', 'CYP3A43', 'CYP2S1', 'CYP4A11', 'CYP4A22']"
117,HMDB0004264,"['ACOX1', 'SLC27A4', 'EPHX2', 'ECHS1', 'ACOT8', 'BAAT', 'ACOT7', 'ACOT1', 'AASDH', 'HADHB', 'HSD17B10', 'EPHX1', 'AMACR', 'ACOT4', 'SLC27A2', 'ACAA2', 'ACSF3', 'HADH', 'ACOT2', 'ACAA1', 'HSD17B4', 'ACSF2', 'HADHA', 'ACOX3', 'SLC27A1', 'SLC27A3']","['CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP1A1', 'CYP4B1', 'CYP2A6', 'CYP3A5', 'CYP2F1', 'CYP2U1', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4X1', 'CYP2E1', 'CYP4F8', 'CYP2C9', 'CYP2C19', 'CYP2A7', 'CYP3A43', 'CYP2S1']"
118,HMDB0000142,"['MTHFD1', 'ALDH1L1', 'MTHFD1L', 'MTHFD2L', 'ALDH1L2', 'MTHFD2', 'SLC26A6']","['CYP2D6', 'CYP1B1', 'CYP4F12', 'ESD', 'PDF', 'ECHS1', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'GCH1', 'CYP1A1', 'CYP4B1', 'CYP2A6', 'EHHADH', 'AFMID', 'CYP3A5', 'CYP2F1', 'CYP2U1', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'ADI1', 'CYP2J2', 'CYP51A1', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4X1', 'CYP2E1', 'CYP4F8', 'HADHA', 'CYP2C19', 'CYP2C9', 'CYP2A7', 'CYP3A43', 'CYP2S1', 'ACY3', 'ASPA', 'SLC16A1', 'SLC16A4', 'SLC16A5', 'SLC16A8', 'SLC16A7', 'SLC16A6', 'SLC19A1', 'SLC16A3']"
119,HMDB0004702,[],"['CYP2D6', 'CYP1B1', 'CYP4F12', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP1A1', 'CYP4B1', 'CYP2A6', 'CYP3A5', 'CYP2F1', 'CYP2U1', 'CYP1A2', 'CYP2B6', 'CYP4F11', 'CYP2J2', 'CYP4Z1', 'CYP19A1', 'CYP2A13', 'CYP4X1', 'CYP2E1', 'CYP4F8', 'CYP2C19', 'CYP2C9', 'CYP2A7', 'CYP3A43', 'CYP2S1']"
120,HMDB0060180,['PHGDH'],"['BPGM', 'PGM2L1', 'PGAM2', 'GLYCTK', 'ACYP1', 'RWDD2A', 'PGAM1', 'ACYP2']"
121,HMDB0001397,"['ACP2', 'NT5C1A', 'ACP5', 'NT5E', 'NT5C3A', 'ACP6', 'NT5C2', 'ACP3', 'NT5C', 'NT5C1B', 'APRT', 'NT5M']","['PDE9A', 'PDE5A', 'HPRT1', 'PDE6H', 'PDE6C', 'PDE1A', 'PDE3B', 'NUDT2', 'PDE6B', 'PDE1B', 'CANT1', 'ITPA', 'PDE11A', 'PDE6A', 'GMPS', 'PDE10A', 'ENTPD8', 'ENTPD3', 'PDE6D', 'ENTPD1', 'PDE2A', 'PDE6G', 'PDE1C', 'PDE3A', 'PDE8B', 'PDE8A', 'PDE7B', 'PDE4B', 'ENTPD5', 'PDE4C', 'ENTPD4', 'PDE4D', 'PDE4A', 'ENTPD6', 'PDE7A', 'SLC35C1']"
122,HMDB0001314,"['PDE9A', 'PDE5A', 'PDE6H', 'PDE6C', 'PDE1A', 'PDE3B', 'PDE6B', 'PDE1B', 'PDE11A', 'PDE6A', 'PDE10A', 'PDE6D', 'PDE2A', 'PDE6G', 'PDE1C', 'PDE3A', 'PDE7B', 'PDE4D', 'PDE4C', 'PDE8B', 'PDE4A', 'PDE8A', 'PDE4B', 'PDE7A', 'ABCC4', 'ABCC5', 'ABCC11']","['GUCY1B2', 'GUCY1A1', 'GUCY2F', 'GUCY1A2', 'NPR2', 'NPR1', 'GUCY2D', 'GUCY2C', 'GUCY1B1', 'ADCY2', 'ADCY8', 'ADCY10', 'ADCY7', 'ADCY9', 'ADCY1', 'ADCY5', 'ADCY3', 'ADCY4', 'ADCY6']"
123,HMDB0000174,"['FCSK', 'FUOM']","['FUCA1', 'FUCA2']"
124,HMDB0002061,"['HYAL3', 'GUSB']","['HAS1', 'HAS3', 'HAS2']"
125,HMDB0001113,['IVD'],"['DLD', 'DBT', 'DBI', 'BCKDHA', 'BCKDHB', 'TMEM91']"
126,HMDB0010715,['FAAH2'],"['PXDN', 'EPX', 'PXDNL', 'PRDX6', 'LPO']"
127,HMDB0000159,"['PXDN', 'EPX', 'PXDNL', 'PRDX6', 'FARS2', 'LPO', 'FARSA', 'FARSB', 'PAH', 'DDC', 'IL4I1', 'SLC7A8', 'SLC7A9', 'SLC3A1']","['KYAT1', 'SLC16A10', 'SLC7A7', 'SLC7A1', 'SLC7A6', 'SLC7A5', 'SLC38A4', 'CLTRN', 'SLC43A1', 'SLC3A2', 'SLC38A2', 'ACE2', 'SLC7A2', 'SLC43A2', 'SLC6A19', 'SLC6A18', 'SLC38A1', 'SLC6A14', 'SLC7A3', 'ABCA1', 'SLC36A1']"
128,HMDB0001493,[],"['IVD', 'EHHADH', 'ECHS1', 'HADHA']"
129,HMDB0060311,"['ELOVL2', 'ACOT6', 'ELOVL5', 'ECHS1', 'BAAT', 'ELOVL4', 'ACOT7', 'ACOT1', 'GPAT3', 'HADHB', 'HSD17B10', 'ELOVL1', 'ACOT4', 'ACAA2', 'GPAT2', 'HADH', 'ACADL', 'ACOT2', 'ACADVL', 'GPAT4', 'SOAT2', 'GPAM', 'ACAD9', 'SOAT1', 'ELOVL6', 'HADHA']","['ACOX1', 'EHHADH', 'ACADM', 'ACAA1', 'FADS1', 'HSD17B4', 'FADS3', 'ACADS', 'FADS2', 'CRAT']"
130,HMDB0006523,"['ELOVL2', 'ACOT6', 'ELOVL5', 'BAAT', 'ELOVL4', 'GPAT3', 'ELOVL1', 'GPAT4', 'SOAT2', 'ACOX2', 'SOAT1', 'ACOX3', 'ELOVL6', 'ELOVL7', 'ELOVL3', 'ACADVL', 'GPAT2', 'EGFL8', 'GPAM', 'ACAD9', 'ACADL']","['ACOX1', 'ACOT7', 'ACOT1', 'EHHADH', 'ACOT4', 'SLC27A2', 'ACADM', 'ACOT2', 'ACAA1', 'FADS1', 'PPT2', 'ACSL6', 'HSD17B4', 'ACSL5', 'FADS3', 'PPT1', 'ACADS', 'FADS2', 'SLC27A4', 'ABCD1', 'SLC27A1', 'PDZD4', 'PNCK', 'SLC6A8', 'SRPK3', 'BCAP31', 'IDH3G']"
131,HMDB0006519,"['ELOVL2', 'ACOT6', 'ELOVL5', 'ECHS1', 'ELOVL4', 'BAAT', 'ACOT7', 'ACOT1', 'GPAT3', 'HADHB', 'HSD17B10', 'ELOVL1', 'ACOT4', 'ACAA2', 'GPAT2', 'HADH', 'ACADL', 'ACOT2', 'GPAT4', 'ACADVL', 'SOAT2', 'GPAM', 'ACAD9', 'SOAT1', 'HADHA', 'ELOVL6']","['ACOX1', 'EHHADH', 'ACADM', 'ACAA1', 'FADS1', 'HSD17B4', 'FADS3', 'ACADS', 'FADS2', 'CRAT', 'ABCD1']"
132,HMDB0001114,"['SCD5', 'ELOVL4', 'GPAT3', 'SCD', 'FADS6', 'ACADL', 'GPAT4', 'ACADVL', 'SOAT2', 'ACAD9', 'SOAT1', 'ACOX3', 'ELOVL7', 'ELOVL1', 'ELOVL3', 'GPAT2', 'GPAM']","['ACOX1', 'ELOVL2', 'ELOVL5', 'ACSL1', 'EHHADH', 'HADHB', 'ACSBG2', 'SLC27A2', 'ACAA2', 'MYO5B', 'ACADM', 'ACAA1', 'ACSL4', 'FASN', 'ACSL6', 'HSD17B4', 'ACSL5', 'HADHA', 'ACSL3', 'ACADS', 'ELOVL6', 'TECRL', 'TECR', 'PECR', 'CRAT', 'ABCD1']"
133,HMDB0001338,"['FAR1', 'SPTLC2', 'SCD5', 'ACOT8', 'PIGW', 'SPTLC1', 'GNPAT', 'CTSA', 'ELOVL4', 'ELOVL3', 'GPAT3', 'SCD', 'ELOVL1', 'ACOT4', 'SPTLC3', 'VNN2', 'FAR2', 'ELOVL7', 'ACADL', 'ACOT2', 'GPAT4', 'ACADVL', 'SOAT2', 'VNN1', 'ACAD9', 'SOAT1', 'ACOX3', 'BAAT', 'GPAT2', 'ACOT7', 'EGFL8', 'ACOT1', 'PPT2', 'GPAM', 'ACOT6', 'PPT1', 'ZDHHC19', 'THEM5', 'ZDHHC16', 'ZDHHC3', 'ZDHHC18', 'ZDHHC1', 'ZDHHC13', 'ZDHHC23', 'ZDHHC6', 'ZDHHC2', 'ZDHHC17', 'ZDHHC24', 'ZDHHC7', 'ZDHHC8', 'THEM4', 'ZDHHC5', 'ZDHHC15', 'ZDHHC22', 'ZDHHC14', 'ZDHHC4', 'ZDHHC9', 'ACOT7L', 'ZDHHC12', 'ZDHHC11B', 'ZDHHC21', 'ZDHHC11', 'ZDHHC20']","['ACOX1', 'ELOVL2', 'ELOVL5', 'ACSL1', 'EHHADH', 'HADHB', 'ACSBG2', 'SLC27A2', 'ACAA2', 'ACADM', 'ACAA1', 'ACSL4', 'FASN', 'ACSL6', 'HSD17B4', 'ACSL5', 'HADHA', 'ACSL3', 'ACADS', 'ELOVL6', 'MYO5B', 'SLC27A4', 'ABCD1', 'PDZD4', 'PNCK', 'SLC6A8', 'SRPK3', 'BCAP31', 'IDH3G']"
134,HMDB0006267,"['ACOT6', 'ECHS1', 'BAAT', 'ACOT7', 'ACOT1', 'GPAT3', 'HADHB', 'HSD17B10', 'ACOT4', 'ACAA2', 'GPAT2', 'HADH', 'ACADM', 'ACADL', 'ACOT2', 'ACADVL', 'GPAT4', 'SOAT2', 'GPAM', 'ACAD9', 'SOAT1', 'HADHA', 'ELOVL7', 'ELOVL3']","['ACOX1', 'ELOVL2', 'ELOVL5', 'ELOVL4', 'EHHADH', 'ACAA1', 'HSD17B4', 'ELOVL6', 'TECRL', 'TECR', 'CRAT']"
135,HMDB0001521,"['ACOT6', 'SCD5', 'BAAT', 'ACOT7', 'ACOT1', 'GPAT3', 'SCD', 'ACOT4', 'GPAT2', 'ACADL', 'ACADM', 'ACOT2', 'GPAT4', 'SOAT2', 'ACAD9', 'SOAT1', 'ACOX3', 'ACADS', 'FADS2', 'GPAM']","['ACOX1', 'ELOVL2', 'ELOVL5', 'EHHADH', 'HADHB', 'ACAA2', 'ACAA1', 'ACADVL', 'FASN', 'HSD17B4', 'HADHA', 'ACSL3', 'ELOVL6', 'MYO5B', 'CRAT']"
136,HMDB0004047,"['ACOT8', 'ECH1']","['ACOX1', 'EHHADH', 'ACAA1', 'HSD17B4']"
137,HMDB0002845,"['GLYAT', 'ACADSB', 'ACOX3', 'ACADS', 'ACADL']","['ACOX1', 'ECHS1', 'HADHB', 'EHHADH', 'ACAA2', 'MYO5B', 'HADH', 'ACADM', 'ACAA1', 'DBI', 'HSD17B4', 'HADHA', 'CROT']"
138,HMDB0006522,"['ECI1', 'ECI2']","['ACOX1', 'ECHS1', 'EHHADH', 'ACAA2', 'HADH', 'ACADM', 'ACAA1', 'HSD17B4']"
139,HMDB0001088,"['ACADSB', 'ACAD10', 'ACAD8', 'ACAD9', 'ACAD11', 'ACOX3', 'ACADS', 'ACAT1', 'ACAT2']","['ACOX1', 'ECHS1', 'EHHADH', 'HADHB', 'ACSM1', 'ACAA2', 'MYO5B', 'HADH', 'ACADM', 'ACAA1', 'HSD17B4', 'HADHA', 'ECHDC1', 'CROT', 'LPCAT3', 'SLC33A1', 'ESCO2', 'MBOAT7', 'AGPAT4', 'ESCO1', 'OXSM', 'EGFR', 'ELOVL6', 'PNPLA3', 'MBOAT2', 'ELOVL5', 'AGPAT3', 'HYAL3', 'ELOVL2', 'LPGAT1', 'LPCAT4', 'TAFAZZIN']"
140,HMDB0004258,"['ELOVL2', 'ELOVL5', 'LOXL2', 'ELOVL4', 'GPAT3', 'GPAT2', 'ACADL', 'ACADM', 'GPAT4', 'ACADVL', 'SOAT2', 'ACAD9', 'SOAT1', 'ACOX3', 'ACADS', 'GPAM', 'ELOVL6', 'ELOVL7', 'ELOVL1', 'ELOVL3']","['ACOX1', 'ACSL1', 'EHHADH', 'HADHB', 'ACAA2', 'MYO5B', 'ACAA1', 'HSD17B4', 'HADHA', 'TECRL', 'TECR', 'CRAT']"
141,HMDB0001322,"['ELOVL2', 'ELOVL5', 'ELOVL4', 'GPAT3', 'ACADL', 'ACADM', 'GPAT4', 'FADS1', 'SOAT2', 'SOAT1', 'ACOX3', 'FADS3', 'ACADS', 'ELOVL6', 'FADS2', 'ELOVL7', 'ELOVL3', 'BAAT', 'ACADVL', 'GPAT2', 'ACOT7', 'ACOT1', 'GPAM', 'ACOT6', 'ACOT2', 'ACAD9', 'ACOT4']","['ACOX1', 'SCD5', 'ACSL1', 'EHHADH', 'HADHB', 'SCD', 'FADS6', 'ACSBG2', 'SLC27A2', 'ACAA2', 'MYO5B', 'ACAA1', 'ACSL4', 'ACSL6', 'HSD17B4', 'ACSL5', 'HADHA', 'ACSL3', 'ACSBG1', 'CRAT', 'SLC27A4']"
